Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,nbVendeurs,latitudeVille,longitudeVille,Etat,nbVendeursParCommande
sao paulo,15540,124.32960264900932,16.575936891312782,4.139622641509434,694,-23.570860168124305,-46.63324168698368,São Paulo,0.04465894465894466
sao paulo,15540,124.32960264900932,16.575936891312782,4.139622641509434,694,-23.57870736918802,-46.645778615462866,Acre,0.04465894465894466
rio de janeiro,6882,145.23541995902812,23.660398009950157,3.8843488304937916,1,-22.88851286839717,-43.48185481761642,Acre,1.4530659691950015E-4
rio de janeiro,6882,145.23541995902812,23.660398009950157,3.8843488304937916,1,-22.91491094007717,-43.31287727788015,Rio de Janeiro,1.4530659691950015E-4
rio de janeiro,6882,145.23541995902812,23.660398009950157,3.8843488304937916,2,-22.88851286839717,-43.48185481761642,Acre,2.906131938390003E-4
rio de janeiro,6882,145.23541995902812,23.660398009950157,3.8843488304937916,2,-22.91491094007717,-43.31287727788015,Rio de Janeiro,2.906131938390003E-4
rio de janeiro,6882,145.23541995902812,23.660398009950157,3.8843488304937916,93,-22.88851286839717,-43.48185481761642,Acre,0.013513513513513514
rio de janeiro,6882,145.23541995902812,23.660398009950157,3.8843488304937916,93,-22.91491094007717,-43.31287727788015,Rio de Janeiro,0.013513513513513514
belo horizonte,2773,129.31313818181792,22.226276363636366,4.09051878354204,2,-19.9087721380183,-43.957549373181315,Minas Gerais,7.21240533717995E-4
belo horizonte,2773,129.31313818181792,22.226276363636366,4.09051878354204,66,-19.9087721380183,-43.957549373181315,Minas Gerais,0.023800937612693834
brasilia,2131,142.6844281663516,23.81138468809074,4.056252905625291,28,-15.811072659488262,-47.971704877885685,District fédéral,0.01313937118723604
curitiba,1521,140.22388079470213,21.855503311258282,4.187540983606557,3,-25.453054020386823,-49.27499629427101,Paraná,0.0019723865877712033
curitiba,1521,140.22388079470213,21.855503311258282,4.187540983606557,124,-25.453054020386823,-49.27499629427101,Paraná,0.08152531229454306
campinas,1444,131.4517354793564,17.28283414975507,4.068181818181818,41,-22.90086823037808,-47.068536847474455,São Paulo,0.028393351800554016
campinas,1444,131.4517354793564,17.28283414975507,4.068181818181818,41,-22.861614714024753,-47.06430302666198,Acre,0.028393351800554016
porto alegre,1379,138.8936443148691,24.418374635568508,3.9928109273903667,1,-30.049252267575962,-51.18858153639673,Rio Grande do Sul,7.251631617113851E-4
porto alegre,1379,138.8936443148691,24.418374635568508,3.9928109273903667,27,-30.049252267575962,-51.18858153639673,Rio Grande do Sul,0.019579405366207395
salvador,1245,146.28789983844933,28.8109693053312,3.672785315243416,7,-12.987813773589286,-38.50574187032669,Bahia,0.005622489959839358
salvador,1245,146.28789983844933,28.8109693053312,3.672785315243416,7,-12.962654589682149,-38.4616830422837,Bahia,0.005622489959839358
guarulhos,1189,122.46892190152828,16.390008488964348,4.063758389261745,50,-23.446403450611076,-46.49876846180308,São Paulo,0.04205214465937763
sao bernardo do campo,938,112.65192887931062,15.607607758620691,4.248677248677248,32,-23.70762633840408,-46.56386871942135,São Paulo,0.03411513859275053
niteroi,849,139.5350532544381,23.683147928994085,3.9277389277389276,8,-22.893927051796183,-43.086335277840156,Rio de Janeiro,0.009422850412249705
santo andre,797,116.12042875157657,15.936973518284997,4.2671660424469415,45,-23.6600310913758,-46.521965851668206,São Paulo,0.056461731493099125
santo andre,797,116.12042875157657,15.936973518284997,4.2671660424469415,45,-7.221183860031729,-36.63355991201459,Paraïba,0.056461731493099125
osasco,746,110.7248787061997,15.960727762803236,4.159786950732357,32,-23.536560947809892,-46.78828362886693,São Paulo,0.04289544235924933
santos,713,139.91089235127504,18.262209631728037,4.173669467787115,16,-23.96252319074526,-46.32780350647331,São Paulo,0.02244039270687237
goiania,692,154.4558515283845,26.1271615720524,3.9283667621776504,23,-16.684586639738036,-49.27448045931697,Goiás,0.033236994219653176
sao jose dos campos,691,114.65151603498563,16.525320699708455,4.223665223665224,18,-23.210879707043965,-45.88518649653687,São Paulo,0.02604920405209841
fortaleza,654,150.5662461538464,31.966169230769246,3.802752293577982,7,-3.763107946625512,-38.53242972497402,Ceará,0.010703363914373088
sorocaba,633,122.6791025641028,16.982499999999995,4.238244514106583,32,-23.485346151382082,-47.46445000569193,São Paulo,0.05055292259083728
recife,613,146.73694444444473,33.04004901960784,3.9098228663446055,5,-8.068138874398839,-34.91363210482967,Pernambuco,0.008156606851549755
florianopolis,570,152.0813982300887,24.77766371681415,3.9790940766550524,1,-27.57683563925412,-48.517951844329865,Santa Catarina,0.0017543859649122807
florianopolis,570,152.0813982300887,24.77766371681415,3.9790940766550524,17,-27.57683563925412,-48.517951844329865,Santa Catarina,0.02982456140350877
jundiai,565,145.1969642857145,18.029410714285714,4.134275618374558,14,-23.185675744261623,-46.90259409644331,São Paulo,0.024778761061946902
ribeirao preto,510,129.2067125984252,19.23482283464566,4.209708737864077,52,-21.180750634407623,-47.804281096227534,São Paulo,0.10196078431372549
belem,447,181.97186516853955,35.245258426966295,3.838137472283814,"",-6.698187892953499,-35.53682088094558,Paraïba,""
belem,447,181.97186516853955,35.245258426966295,3.838137472283814,"",-1.4182009228719668,-48.46951066726482,Pará,""
belem,447,181.97186516853955,35.245258426966295,3.838137472283814,"",-9.583374640108921,-36.4701990872888,Alagoas,""
nova iguacu,442,137.2074943052392,24.122232346241454,3.7828054298642533,5,-22.74284877626707,-43.472319863519814,Rio de Janeiro,0.011312217194570135
barueri,433,119.64650349650346,16.930745920745924,4.142857142857143,13,-23.505912650749714,-46.86935863185788,São Paulo,0.03002309468822171
juiz de fora,427,152.91260563380285,24.54061032863848,4.1782407407407405,1,-21.7541042028893,-43.36263708878037,Minas Gerais,0.00234192037470726
juiz de fora,427,152.91260563380285,24.54061032863848,4.1782407407407405,9,-21.7541042028893,-43.36263708878037,Minas Gerais,0.02107728337236534
contagem,426,117.12108747044907,20.925815602836877,3.9509345794392523,12,-19.9190393518736,-44.057885087693045,Minas Gerais,0.028169014084507043
sao goncalo,409,129.3468965517241,22.395788177339888,3.6092233009708736,7,-22.82802998050913,-43.02753213709035,Rio de Janeiro,0.017114914425427872
mogi das cruzes,383,137.22369393139834,17.27408970976253,4.140625,15,-23.530401558443916,-46.193887959028466,São Paulo,0.0391644908616188
vitoria,380,140.71370370370363,25.218624338624338,4.0078740157480315,4,-20.28862268713457,-40.299007007971774,Espírito Santo,0.010526315789473684
vitoria,380,140.71370370370363,25.218624338624338,4.0078740157480315,4,-24.896697185583776,-49.8403869636703,Paraná,0.010526315789473684
uberlandia,374,130.51604838709673,22.134731182795697,4.263297872340425,12,-18.918531827023873,-48.27499733339019,Minas Gerais,0.03208556149732621
piracicaba,369,142.91797814207638,18.122923497267763,4.159891598915989,12,-22.725841079430904,-47.646621915541544,São Paulo,0.032520325203252036
sao luis,353,146.6290517241379,35.58873563218391,3.672316384180791,1,-2.530584706979767,-44.25421387400731,Maranhão,0.0028328611898017
sao jose do rio preto,335,141.35300300300293,20.064774774774772,4.2119402985074625,33,-20.809641072093598,-49.37964503407102,São Paulo,0.09850746268656717
vila velha,334,145.00054054054047,23.7160960960961,3.844311377245509,1,-20.35965803283196,-40.310216940252815,Espírito Santo,0.0029940119760479044
vila velha,334,145.00054054054047,23.7160960960961,3.844311377245509,4,-20.35965803283196,-40.310216940252815,Espírito Santo,0.011976047904191617
carapicuiba,328,99.18732307692298,15.480307692307694,4.132930513595166,10,-23.545578557335205,-46.83877557576887,São Paulo,0.03048780487804878
maua,323,136.802382445141,15.003636363636364,4.1419753086419755,13,-23.669993795741227,-46.44890869240463,São Paulo,0.04024767801857585
campo grande,320,181.33863492063492,26.551047619047612,4.136645962732919,4,-5.862747520564514,-37.31109127671388,Rio Grande do Norte,0.0125
campo grande,320,181.33863492063492,26.551047619047612,4.136645962732919,4,-9.959598567747458,-36.79002181192202,Alagoas,0.0125
campo grande,320,181.33863492063492,26.551047619047612,4.136645962732919,4,-22.885007883100812,-43.61612998754906,Rio de Janeiro,0.0125
campo grande,320,181.33863492063492,26.551047619047612,4.136645962732919,4,-20.470062576972307,-54.615784883567414,Mato Grosso do Sul,0.0125
praia grande,316,127.5595498392282,16.727106109324755,4.116352201257862,10,-29.195972506381672,-49.950968829581605,Santa Catarina,0.03164556962025317
praia grande,316,127.5595498392282,16.727106109324755,4.116352201257862,10,-24.021423655849397,-46.46182393815408,São Paulo,0.03164556962025317
praia grande,316,127.5595498392282,16.727106109324755,4.116352201257862,10,-20.0390540620337,-40.18714729796507,Espírito Santo,0.03164556962025317
londrina,306,153.35069306930697,21.913366336633658,4.145631067961165,1,-23.31441588953911,-51.16549611994072,Paraná,0.0032679738562091504
londrina,306,153.35069306930697,21.913366336633658,4.145631067961165,25,-23.31441588953911,-51.16549611994072,Paraná,0.08169934640522876
taboao da serra,296,123.21827586206882,16.092413793103447,4.01328903654485,10,-23.6207381115952,-46.78015554029438,São Paulo,0.033783783783783786
