product_weight_g,product_length_cm,product_height_cm,product_width_cm,price,freight_value,FraisPredits,id
450.0,30.0,12.0,15.0,54.9,14.13,15.040706469394443,0
250.0,40.0,4.0,30.0,17.9,12.79,13.859555160191409,1
950.0,29.0,10.0,25.0,69.9,13.51,16.24711237298002,2
200.0,16.0,8.0,11.0,69.9,14.66,14.107035986337573,3
4100.0,20.0,15.0,13.0,87.99,71.9,22.91554938624008,4
600.0,21.0,8.0,13.0,110.0,8.96,15.905053118194838,5
900.0,16.0,10.0,16.0,49.5,12.93,15.247049774421024,6
300.0,17.0,4.0,11.0,21.99,7.41,13.164891620199175,7
300.0,18.0,7.0,12.0,22.9,15.1,13.387158970195959,8
4600.0,16.0,2.0,11.0,20.3,3.33,21.70994683569412,9
1700.0,30.0,5.0,30.0,116.9,16.58,18.488562745961545,10
300.0,16.0,2.0,20.0,20.3,8.11,13.018796988702693,11
150.0,22.0,3.0,15.0,110.32,19.95,14.765586204996719,12
1250.0,20.0,28.0,20.0,55.0,12.73,17.21393515576698,13
350.0,17.0,10.0,12.0,89.9,21.43,14.96103229350104,14
1700.0,30.0,23.0,11.0,43.8,11.15,17.945540842820975,15
900.0,45.0,20.0,25.0,29.9,16.11,16.457275238024824,16
1500.0,40.0,25.0,20.0,89.9,27.36,18.958004409048808,17
723.0,23.0,15.0,15.0,265.0,21.05,19.72318857721961,18
3300.0,50.0,30.0,30.0,109.9,10.96,23.674214639962152,19
800.0,60.0,15.0,15.0,99.9,21.19,17.871881746398387,20
200.0,41.0,2.0,29.0,22.32,15.26,13.767988523352361,21
6550.0,20.0,20.0,20.0,139.0,54.72,29.209382558325885,22
200.0,16.0,2.0,11.0,35.0,18.35,13.077370379961927,23
9750.0,35.0,12.0,30.0,215.0,18.22,37.34775131933493,24
1580.0,66.0,13.0,45.0,112.0,15.54,19.90772217976261,25
250.0,23.0,11.0,22.0,44.95,14.1,14.160220065703571,26
4338.0,17.0,12.0,14.0,124.9,15.75,23.8709444091569,27
350.0,17.0,4.0,12.0,27.99,14.1,13.390219021061792,28
1450.0,74.0,12.0,15.0,137.0,23.83,20.260728775498244,29
150.0,28.0,8.0,12.0,199.0,19.49,17.017500484700836,30
700.0,30.0,20.0,30.0,18.9,16.11,15.322342532415778,31
1400.0,17.0,33.0,19.0,45.0,16.6,17.484185300294474,32
100.0,20.0,15.0,15.0,19.99,10.96,13.444970490241593,33
800.0,38.0,38.0,22.0,54.4,19.35,17.47955629163251,34
