nbPaiements,montant,nbPaiementPrediction,id
1.0,152.06,3.463631478091307,0
1.0,78.22,3.075373284777011,1
1.0,37.77,2.862683090850098,2
1.0,25.77,2.7995858763353154,3
1.0,103.65,3.2090867985362546,4
1.0,300.78,4.245616289977846,5
1.0,35.23,2.8493275137778022,6
10.0,120.79,3.2992106532682026,7
4.0,87.32,3.1232220057840543,8
1.0,44.0,2.8954410613856894,9
6.0,191.25,3.6696964644941676,10
2.0,267.41,4.0701534526146546,11
1.0,55.24,2.9545421189812022,12
1.0,63.6,2.9984998450931677,13
1.0,174.88,3.583621347693585,14
1.0,41.69,2.8832948475915936,15
5.0,109.31,3.2388476513823936,16
3.0,60.7,2.9832513515854284,17
1.0,99.65,3.1880543936979935,18
2.0,155.94,3.48403291078442,19
1.0,153.01,3.4686266742403937,20
1.0,63.73,2.999183398250411,21
3.0,76.57,3.0666974177812283,22
1.0,61.19,2.9858278211781153,23
1.0,35.45,2.8504842960439065,24
1.0,27.79,2.810207240778637,25
1.0,20.79,2.7734005323116806,26
2.0,97.37,3.176065922940185,27
2.0,141.29,3.4070017280642895,28
10.0,117.03,3.2794401927202372,29
3.0,102.03,3.200568674576759,30
4.0,106.0,3.2214433363787327,31
7.0,74.49,3.0557605672653327,32
3.0,43.1,2.8907087702970804,33
7.0,147.06,3.4373409720434807,34
1.0,35.77,2.8521668884309674,35
1.0,40.93,2.879298690672324,36
4.0,118.26,3.2859076572080026,37
3.0,79.33,3.0812097771196285,38
1.0,18.19,2.7597294691668113,39
10.0,296.96,4.225530343357307,40
3.0,30.15,2.8226163596332112,41
3.0,208.65,3.7611874255406024,42
2.0,98.72,3.183164359573098,43
1.0,65.39,3.0079118462582892,44
2.0,88.16,3.1276388108000894,45
4.0,41.84,2.8840835627730286,46
1.0,47.13,2.9118989181716284,47
5.0,268.84,4.077672537344332,48
2.0,282.58,4.149918847963759,49
1.0,62.75,2.994030459065037,50
2.0,70.15,3.0329404080158198,51
3.0,168.8,3.5516520923394284,52
1.0,87.6,3.124694274122733,53
12.0,340.49,4.454415489009681,54
4.0,315.84,4.324803294193898,55
8.0,440.19,4.978648179603333,56
4.0,216.09,3.8003076985397675,57
1.0,45.21,2.9018033638492633,58
4.0,169.05,3.55296661764182,59
3.0,35.0,2.8481181504996025,60
3.0,30.95,2.826822840600863,61
2.0,86.15,3.117070027368863,62
8.0,310.85,4.298565369158168,63
2.0,21.1,2.775030543686646,64
5.0,256.02,4.010263679837706,65
2.0,57.68,2.9673718859325415,66
2.0,144.72,3.425037015213098,67
1.0,5.89,2.695054824289159,68
7.0,349.43,4.501422913823194,69
1.0,49.91,2.9265164395342196,70
1.0,63.9,3.000077275456037,71
2.0,98.65,3.1827962924884288,72
10.0,165.96,3.5367190849042633,73
2.0,91.88,3.147198947299672,74
2.0,123.42,3.313039459449359,75
1.0,79.56,3.0824191403978283,76
3.0,38.72,2.867678286999185,77
10.0,882.46,7.304148601557742,78
5.0,257.92,4.020254072135881,79
5.0,83.17,3.1014008857643587,80
10.0,690.06,6.292489928837394,81
6.0,171.84,3.5676367200165067,82
1.0,2.5,2.677229861188733,83
4.0,102.37,3.2023564289880113,84
2.0,210.54,3.7711252368266805,85
8.0,229.65,3.871607550941472,86
10.0,276.08,4.115741190101585,87
3.0,125.77,3.325395997291837,88
10.0,166.29,3.5384542583034198,89
2.0,213.53,3.786846959443281,90
4.0,103.08,3.2060896808468025,91
1.0,50.98,2.9321426078284545,92
2.0,41.29,2.8811916071077674,93
