fichier,temps (sec)
VILLE-localisationVilles.csv,254
VILLE-nbCommandesParVille.csv,15
ETAT-nbCommandesParEtat.csv,7
GENERAL-infosGeneralesCommandes.csv,13
VILLE-infosGeneralesCommandesVilles.csv,33
ETAT-infosGeneralesCommandesEtats.csv,30
VILLE-nbVendeursParVille.csv,34
ETAT-nbVendeursParEtat.csv,13
CATEGORIES-informationsProduitsClusters-14.csv,99
CLUSTER-centresclustersProduits-14.csv,330
GENERAL-noteMoyenne.csv,7
ETAT-noteMoyenneEtat.csv,11
VILLE-noteMoyenneVille.csv,20
CATEGORIES-noteMoyenneCategorieProduit.csv,17
PAIEMENT-nbUtilisationModePaiement.csv,10
PAIEMENT-nbUtilisationModePaiementEtat.csv,9
PAIEMENT-nbVersementsMoyen.csv,3
PAIEMENT-nbVersementsMoyenMode.csv,10
ETAT-nbVersementMoyenEtatCarte.csv,9
ETAT-montantMoyenVersementEtatCarte.csv,10
ETAT-delaisMoyensEtats.csv,10
GLOBAL_indicateursEtats.csv,2
GLOBAL_indicateursVilles.csv,3
GLOBAL_indicateursCategorie.csv,2
GLOBAL_indicateursTypesPaiements.csv,1
REGRESSION-regressionPrixFrais-resultat.csv,13
REGRESSION-regressionPrixFrais-indicateurs.csv,1
REGRESSION-regressionInfosPrixFrais-resultat.csv,16
REGRESSION-regressionInfosPrixFrais-indicateurs.csv,1
REGRESSION-regressionMontantNbPaiement-resultat.csv,5
REGRESSION-regressionMontantNbPaiement-indicateurs.csv,1
