Ville,prixMoyenProduits,fraisMoyen
pianco,2200.0,124.99
nova esperanca do piria,2199.0,53.66
engenheiro navarro,1997.0,109.55
agrestina,1989.0,77.34
mariental,1799.0,68.85
loreto,1599.99,43.65
ibitita,1450.0,84.58
pirpirituba,1340.0,32.25
barra longa,1300.0,41.55
barao ataliba nogueira,1300.0,51.51
paranatinga,1231.645,55.515
bom jesus do araguaia,1199.9,47.39
passagem,1199.0,66.83
bom jesus do galho,1198.8225,32.129999999999995
coari,1190.65,68.39
brejo do cruz,1160.0,57.78
nova roma do sul,1106.99,20.3
santo antonio do aracangua,1099.0,18.99
caicara do norte,1099.0,58.41
godoy moreira,1049.0,52.83
picarra,1014.6,108.25999999999999
sape,979.995,41.42
abadiania,949.99,75.53
candido godoi,900.0,105.84
juru,890.0,29.38
lutecia,887.0,21.84
itaguari,887.0,26.7
pacatuba,863.5959999999999,30.375999999999998
trindade do sul,816.7475,26.435
mandaguacu,805.5,25.965
sandolandia,799.0,42.28
arataca,795.0,70.78
crissiumal,794.5,41.15
datas,780.0,140.94
icatu,778.0,114.9
costa marques,767.45,61.690000000000005
jaboticatubas,767.3,41.57
periquito,763.0,31.049999999999997
amarante,760.0,193.84
jaguapita,759.05,31.63
sao joao do itaperiu,755.99,26.75
santa isabel do rio preto,739.9,21.92
monte alegre do sul,696.965,29.764999999999997
bonfinopolis de minas,693.6,23.275
morro de sao paulo,691.96,140.04
joao camara,689.9000000000001,43.505
divisa nova,689.9,98.81
bom retiro do sul,689.5,52.605
cantanhede,689.0,46.85
campestre da serra,674.495,20.535
cedro de sao joao,666.6633333333333,78.66333333333334
marilac,657.8,284.98
jequeri,655.0,21.84
tapiramuta,649.495,88.955
salto grande,640.0,34.34
alto paraiso,628.495,38.46
catole do rocha,623.765,54.01666666666667
venturosa,614.45,34.08
graccho cardoso,610.0,113.72
breves,609.0,101.19
porto dos gauchos,609.0,46.67
quarai,600.7475,17.79
matias olimpio,600.0,241.4
lavrinhas,599.9,21.45
canto do buriti,599.5,75.33
sanharo,582.6666666666666,187.33333333333334
beberibe,578.9,29.070000000000004
celso ramos,568.395,152.075
catu de abrantes,567.995,79.935
santo antonio do pinhal,564.45,61.894999999999996
padre carvalho,563.0,19.94
paulino neves,559.99,54.64
nossa senhora das dores,559.0,39.23
desterro,559.0,80.98
teixeira soares,545.6899999999999,112.22999999999999
sao sebastiao do paraiba,540.0,31.16
itapaje,533.1133333333333,37.733333333333334
ipanema,532.5385714285713,26.928571428571427
patrocinio paulista,529.6,44.13
vitorino freire,529.3333333333334,52.123333333333335
tailandia,528.2950000000001,35.82
pedregulho,519.7,41.39
alhandra,518.5,135.455
reginopolis,517.6633333333333,55.44333333333333
ipueiras,515.7633333333333,86.16333333333334
conceicao das alagoas,514.1333333333333,33.0
toropi,509.9666666666667,51.026666666666664
ipua,507.8725,16.1675
cocal do sul,503.8225,41.7375
alvares machado,502.82124999999996,25.60625
riachao do jacuipe,500.48,22.238
jiquirica,499.99,19.94
vargeao,499.9,20.75
jaquirana,499.0,48.98
araujos,498.1,44.144
ipupiara,495.0,30.85
inhapi,489.95,47.599999999999994
pio xii,479.99,66.04
paula freitas,474.9,78.56
dormentes,473.4,60.465
santo antonio,471.8,36.18
formosa do rio preto,466.04333333333335,76.67666666666666
paranaita,464.6875,39.43000000000001
martinopolis,463.51125,47.002500000000005
sao joao da ponte,461.84,34.92
tumiritinga,459.0,21.31
cruzeiro do sul,457.9542857142857,47.392857142857146
mairi,456.5,30.655
julio mesquita,454.995,37.3
espinosa,450.8483333333333,40.39166666666667
upanema,447.8666666666666,44.21666666666667
novo progresso,443.802,43.414
pacaja,441.8433333333334,34.983333333333334
itatinga,440.0375,17.9875
solanea,440.0,79.28999999999999
paudalho,439.45,35.620000000000005
fronteiras,436.2666666666667,33.34666666666667
santa fe de goias,434.4225,45.894999999999996
ibotirama,433.1985714285714,28.687142857142856
sao joao do sul,430.5,20.685000000000002
boa vista do cadeado,429.98,35.0
russas,427.09666666666664,86.49666666666667
alcantara,424.8,40.06
colonia jordaozinho,421.7,113.815
santana do jacare,421.44750000000005,20.8575
poco redondo,419.8,126.98
serro,418.945,19.365
gameleira,414.495,42.285
cachoeira do campo,414.495,40.425
lavras da mangabeira,413.94,79.28999999999999
alto piquiri,412.0,20.5
bertolinia,411.0,72.87
saloa,410.3333333333333,101.69333333333334
lagoa real,410.0,49.92
porto alegre do norte,410.0,35.32
conde,409.5,31.26
mambai,408.495,52.455
coruripe,407.43333333333334,45.596666666666664
sao miguel dos campos,406.68,120.375
murutinga do sul,404.5,23.355
mata,399.85,18.5
itupiranga,399.0,203.38
embauba,399.0,15.81
ibitira,399.0,22.03
taio,397.682,34.038
alfredo wagner,397.4,24.935000000000002
santana do araguaia,396.93333333333334,92.37
echapora,393.735,29.889999999999997
ubajara,392.9666666666667,78.57666666666665
amanari,390.0,29.39
santana do serido,389.85,81.835
confins,389.0,55.25
pitimbu,388.9,66.21
sao felix de minas,388.9,20.6
agua limpa,388.0,28.8
nova olinda do maranhao,386.6,44.4825
campos sales,385.975,77.47
campos verdes,385.6,27.44
oiapoque,385.0,40.24
lagoa grande,384.90625,34.213750000000005
ipira,384.76444444444445,31.89888888888889
quixere,381.09999999999997,45.903333333333336
