geolocation_city,latitudeVille,longitudeVille,Etat
* cidade,-25.571748415488482,-49.33437407992388,Paraná
...arraial do cabo,-22.969370031652062,-42.02983437523808,Rio de Janeiro
4o. centenario,-24.2718596772122,-53.0694333134515,Paraná
4º centenario,-24.279800992315977,-53.07472322654436,Paraná
abadia de goias,-16.76706286540188,-49.438089420466014,Goiás
abadia dos dourados,-18.474476487136112,-47.4078365252738,Minas Gerais
abadiania,-16.193819611656007,-48.708441921091556,Goiás
abadiânia,-16.193554941919746,-48.71214266034082,Goiás
abaete,-19.158549321364347,-45.44627527095029,Minas Gerais
abaetetuba,-1.7230241817101857,-48.88106537387818,Pará
abaeté,-19.15638951920697,-45.44643294595805,Minas Gerais
abaiara,-7.358247021378397,-39.04581684412134,Ceará
abaira,-13.250394953318787,-41.66353606594831,Bahia
abare,-8.689967452179038,-39.164144068995,Bahia
abaré,-8.723652728356718,-39.11459425901205,Bahia
abatia,-23.304513187420707,-50.31116611469426,Paraná
abatiá,-23.30473194502101,-50.30671144373594,Paraná
abaíra,-13.251101562812092,-41.664659557986646,Bahia
abdon batista,-27.608818306014136,-51.024885318269426,Santa Catarina
abel figueiredo,-4.953901331134197,-48.39812266389258,Pará
abelardo luz,-26.56537535604435,-52.32532803924757,Santa Catarina
abrantes,-12.830174022460263,-38.265106951363116,Bahia
abre campo,-20.297406091839964,-42.4756790957994,Minas Gerais
abreu e lima,-7.9115678105724125,-34.912985990149764,Pernambuco
abreulândia,-9.622442657403377,-49.149720300911845,Tocantins
abreus,-18.977746375609975,-48.269237984590916,Minas Gerais
acaiaca,-20.36291378049634,-43.14402222191236,Minas Gerais
acailandia,-4.944747265765334,-47.48256492492615,Maranhão
acajutiba,-11.663495576693931,-38.023852706144226,Bahia
acara,-1.95913141173418,-48.1963070610334,Pará
acarape,-4.224106437897478,-38.70598562793475,Ceará
acarau,-2.890381875051492,-40.113084822473105,Ceará
acaraú,-2.8882738147063645,-40.07931114644638,Ceará
acari,-6.436124915575116,-36.640335529330684,Rio Grande do Norte
acará,-1.9604751722640619,-48.19888368109972,Pará
acaua,-8.21782599334695,-41.0820652414531,Piauí
acauã,-8.221232314232498,-41.07740644501662,Piauí
acegua,-31.774987418302466,-54.15690689012052,Rio Grande do Sul
aceguá,-31.7245094621224,-54.11720555627117,Rio Grande do Sul
acioli,-19.655909222582128,-40.46336507540551,Espírito Santo
acopiara,-6.094117746073023,-39.448978487408645,Ceará
acorizal,-15.199589388505151,-56.36694095815544,Mato Grosso
acrelandia,-10.05360609871141,-67.0321262765574,Acre
acrelândia,-10.076679176010263,-67.05356437120881,Acre
acreuna,-17.398076270053327,-50.372516392538124,Goiás
acreúna,-17.400167942106318,-50.376586471645616,Goiás
acu,-5.578256162561115,-36.91491532275635,Rio Grande do Norte
acucena,-19.129221349636005,-42.64363789453824,Minas Gerais
acupe,-12.661775303973426,-38.751328908632885,Bahia
adamantina,-21.695742878741704,-51.046361833976654,São Paulo
adao colares,-0.9331793302279578,-48.2798854881097,Minas Gerais
adelandia,-16.41626295336215,-50.167602152545605,Goiás
adhemar de barros,-22.69031468157406,-52.73463407849236,Paraná
adolfo,-21.234456456293216,-49.642715645268126,São Paulo
adrianopolis,-24.668314396332,-48.97598733352184,Paraná
adrianópolis,-24.65964054399721,-48.99171509845514,Paraná
adustina,-10.536616901316743,-38.11492053385937,Bahia
afogados da ingazeira,-7.759829833939789,-37.56020507437151,Pernambuco
afonso arinos,-22.01222443747746,-43.337123104264364,Rio de Janeiro
afonso bezerra,-5.49563931777212,-36.53499953473234,Rio Grande do Norte
afonso claudio,-20.075987175514054,-41.12398801850306,Espírito Santo
afonso cláudio,-20.082490603465917,-41.12193874559757,Espírito Santo
afonso cunha,-4.131088397083895,-43.32399745717131,Maranhão
afranio,-8.532137464656774,-41.025149765576884,Pernambuco
afrânio,-8.515681257243429,-41.00847132643635,Pernambuco
afua,-0.15676982154698302,-50.39281388731495,Pará
afuá,-0.15869544987536444,-50.389617235803755,Pará
agisse,-23.537328737497397,-48.54493393688767,São Paulo
agrestina,-8.45504693653698,-35.94651434518298,Pernambuco
agricolandia,-5.796714998419932,-42.66518295491898,Piauí
agricolândia,-5.799059562491884,-42.66179726557431,Piauí
agrolandia,-27.407760672796563,-49.82991378792887,Santa Catarina
agrolândia,-27.411103305359138,-49.83103964849232,Santa Catarina
agronomica,-27.268238165766785,-49.71344880183426,Santa Catarina
agronômica,-27.269075169963727,-49.70950363604792,Santa Catarina
agua azul do norte,-6.804580607109001,-50.48391969202448,Pará
agua boa,-14.062779693881485,-52.206022305491494,Mato Grosso
agua boa,-17.983584833880307,-42.391641010187776,Minas Gerais
agua branca,-9.262055423096342,-37.93512658320739,Alagoas
agua branca,-7.515419976964853,-37.64009858240075,Paraïba
agua branca,-5.892044614430678,-42.63373817214237,Piauí
agua branca de minas,-16.192079815993335,-41.72616772679282,Minas Gerais
agua clara,-20.441298694740283,-52.876907318573615,Mato Grosso do Sul
agua comprida,-20.05738309692623,-48.10875095126893,Minas Gerais
agua doce,-26.99753948268607,-51.55508230054838,Santa Catarina
agua doce do maranhao,-2.8783590341287977,-42.13425890269593,Maranhão
agua doce do norte,-18.54173643330138,-40.984057687617096,Espírito Santo
agua fria,-11.831734131665996,-38.75602759065029,Bahia
agua fria de goias,-14.972415223806214,-47.78532009005647,Goiás
agua limpa,-18.076322394559124,-48.76160432422692,Goiás
agua nova,-6.205206243591784,-38.291460507110884,Rio Grande do Norte
agua preta,-8.705754163522581,-35.51654982122745,Pernambuco
agua santa,-28.183372036296035,-52.03985047911124,Rio Grande do Sul
agua vermelha,-21.893561999999996,-47.89098450000001,São Paulo
aguai,-22.05706628499538,-46.97618165238233,São Paulo
aguanil,-20.94218324682893,-45.387432148824516,Minas Gerais
aguas belas,-9.107676114006255,-37.11679659655613,Pernambuco
aguas claras,-28.000303513782928,-49.17546213298624,Rio Grande do Sul
aguas da prata,-21.939687492514494,-46.713331769849546,São Paulo
aguas de chapeco,-27.074925605515585,-52.985248185131,Santa Catarina
aguas de lindoia,-22.4770613558577,-46.61900307787512,São Paulo
aguas de santa barbara,-22.876118660843794,-49.23980523261985,São Paulo
aguas de sao pedro,-22.602185297395447,-47.87191829441938,São Paulo
aguas ferreas,-20.093397450052095,-42.62548261599632,Minas Gerais
aguas formosas,-17.083236220568644,-40.93803847275176,Minas Gerais
aguas frias,-26.881351672421005,-52.859710992167756,Santa Catarina
aguas lindas de goias,-15.72491838980516,-48.27704793087801,Goiás
aguas mornas,-27.70103345965437,-48.83820955993601,Santa Catarina
aguas vermelhas,-15.645153030953056,-41.48340835828967,Minas Gerais
aguaí,-22.056483503638542,-46.975808535721654,São Paulo
agudo,-29.643273595312962,-53.24592556111559,Rio Grande do Sul
agudos,-22.470717077861014,-48.98629341452371,São Paulo
agudos do sul,-25.9874563866239,-49.334836277897196,Paraná
aguia branca,-18.985619914878125,-40.74123536977992,Espírito Santo
aguiar,-7.09301285540057,-38.17180592219051,Paraïba
aguiarnopolis,-6.561381193085836,-47.47434760230476,Tocantins
aguiarnópolis,-6.559462517002985,-47.4774869528423,Tocantins
agulha,-21.998815453548175,-47.49271520116097,São Paulo
aimores,-19.50125967590711,-41.07102364655069,Minas Gerais
aimorés,-19.49563028777582,-41.08327567250618,Minas Gerais
aiquara,-14.126271965040209,-39.889927091463356,Bahia
aiuaba,-6.583338622041794,-40.13887446818398,Ceará
aiuruoca,-21.978848424131762,-44.605769454482136,Minas Gerais
ajuricaba,-28.23771966641463,-53.763374972697925,Rio Grande do Sul
alagoa,-22.171830593467934,-44.642598725792546,Minas Gerais
alagoa grande,-7.041755696576407,-35.63219332049747,Paraïba
alagoa nova,-7.061969027305861,-35.76440866320551,Paraïba
alagoinha,-6.949275120162892,-35.54543763599661,Paraïba
alagoinha,-8.467172120587465,-36.77485511634465,Pernambuco
alagoinha do piaui,-7.008805214833112,-40.93730462226725,Piauí
alagoinha do piauí,-7.009697630013004,-40.93801501497133,Piauí
alagoinhas,-12.136744532665933,-38.42344400813102,Bahia
alambari,-23.56157106605844,-47.88510054852834,São Paulo
albertina,-22.20122849160345,-46.615456671407614,Minas Gerais
alberto isaacson,-19.692467882083736,-45.135662412991074,Minas Gerais
alcantara,-2.3894526933161426,-44.462232805069,Maranhão
alcantaras,-3.583954156003647,-40.5417956284588,Ceará
alcantil,-7.743232162444185,-36.0629876303929,Paraïba
alcinopolis,-18.325890936562413,-53.710012705921415,Mato Grosso do Sul
alcinópolis,-18.325392286030805,-53.712134200949876,Mato Grosso do Sul
alcobaca,-17.50293623343519,-39.270537988509126,Bahia
alcobaça,-17.482928013888323,-39.3038088878954,Bahia
alcântara,-2.3981287925329924,-44.438740786715606,Maranhão
alcântaras,-3.5876704639941877,-40.54564962879273,Ceará
aldeia,-19.008238421936294,-41.11203382038614,Minas Gerais
aldeias altas,-4.62596764081347,-43.46730549774115,Maranhão
alecrim,-27.658214236288945,-54.76690473649302,Rio Grande do Sul
alegre,-20.760206303395872,-41.53516276114849,Espírito Santo
alegrete,-29.789572584973904,-55.79128645489497,Rio Grande do Sul
alegrete do piaui,-7.241927090093526,-40.84388228862271,Piauí
alegrete do piauí,-7.241054564234952,-40.8563053064458,Piauí
alegria,-27.80837589440083,-54.04533603585983,Rio Grande do Sul
alegria,-19.92319844509958,-41.92117148412718,Minas Gerais
alem paraiba,-21.872452912165336,-42.693540638079725,Minas Gerais
alenquer,-1.9460951778154754,-54.73822449983298,Pará
alexandra,-25.5534229350904,-48.62752422974045,Paraná
alexandria,-6.4133556570692125,-38.01396726012292,Rio Grande do Norte
alexandrita,-19.70290819846817,-50.41424707469224,Minas Gerais
alexania,-16.082989120550724,-48.50856735927954,Goiás
alexânia,-16.08639914589078,-48.50294429605729,Goiás
alfenas,-21.423970169543438,-45.951363503161254,Minas Gerais
alfredo chaves,-20.627031870241968,-40.749310569372355,Espírito Santo
alfredo guedes,-22.59326209208953,-48.793596238946726,São Paulo
alfredo marcondes,-21.954288886597624,-51.416154391591796,São Paulo
alfredo vasconcelos,-21.149443547778592,-43.767193356103036,Minas Gerais
alfredo wagner,-27.70013863320932,-49.33157442341496,Santa Catarina
algodão de jandaíra,-6.9040744281326205,-36.01124478544995,Paraïba
algodões,-10.674079142611236,-39.05057508062291,Bahia
alhandra,-7.433968779567003,-34.91044769864678,Paraïba
alianca,-7.59464009039324,-35.22248909430234,Pernambuco
alianca do tocantins,-11.30477820332223,-48.9371764135414,Tocantins
aliança,-7.6065236797352815,-35.230632629378015,Pernambuco
aliança do tocantins,-11.30718067563804,-48.937515427053356,Tocantins
almadina,-14.704574197522877,-39.637593600437214,Bahia
almas,-11.567892561876574,-47.1683104339993,Tocantins
almeirim,-1.5275035267552195,-52.57714994793208,Pará
almenara,-16.176287602159032,-40.69302960684198,Minas Gerais
almino afonso,-6.155247530745038,-37.76818300221504,Rio Grande do Norte
almirante tamandare,-25.333449013270272,-49.28401729149064,Paraná
almirante tamandare do sul,-28.116015587988,-52.914714553089986,Rio Grande do Sul
almirante tamandaré,-25.331719159896537,-49.28835123538913,Paraná
almirante tamandaré do sul,-28.111052791742267,-52.91734552535572,Rio Grande do Sul
aloandia,-17.730768613653673,-49.476715112055636,Goiás
aloândia,-17.724938627006498,-49.48113596867425,Goiás
alpercata,-18.97882641545508,-41.979683055880244,Minas Gerais
alpestre,-27.25035234287266,-53.03555485473069,Rio Grande do Sul
alpinopolis,-20.85823704007911,-46.38672391868265,Minas Gerais
alpinópolis,-20.861700631340742,-46.3881005312071,Minas Gerais
alta alegre dos parecis,-12.131338609068512,-61.85347578961117,Rondônia
alta floresta,-9.902096283770888,-56.14798246464175,Mato Grosso
alta floresta d'oeste,-11.947014804296675,-61.99946134183562,Rondônia
alta floresta do oeste,-11.927292447340866,-61.993178631031334,Rondônia
alta floresta doeste,-11.936514767963192,-62.00345070550289,Rondônia
altair,-20.525024597395166,-49.06086757416893,São Paulo
altamira,-3.2066377414917957,-52.21607476388612,Pará
altamira do maranhao,-4.169239641524318,-45.48681350594832,Maranhão
altamira do parana,-24.79917358055336,-52.715429195588364,Paraná
