Etat,montantMoyenVersementEtatCarte
Santa Catarina,177.58362329524522
Mato Grosso do Sul,205.32842003853563
Goiás,177.3886776315789
Mato Grosso,219.9876479514417
Ceará,209.93724106324456
Espírito Santo,158.3917863954228
Piauí,225.03341902313633
Paraná,165.50627047015323
Alagoas,235.4473020527859
Bahia,187.41815552216386
Roraima,221.92393939393938
Pernambuco,200.6066266866567
Amazonas,186.70943548387098
Rio Grande do Sul,166.26132747804286
Acre,239.7608196721311
Rio Grande do Norte,206.70502538071074
Paraïba,250.10399532710275
District fédéral,171.74272352941173
Sergipe,213.2257575757575
São Paulo,145.3824403133554
Rio de Janeiro,168.19019051321877
Minas Gerais,162.29055237045168
Rondônia,232.8847311827957
Maranhão,203.8647289719626
Tocantins,232.7884771573604
Pará,228.26596153846154
Amapá,259.5536170212766
