Etat,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneEtat,nbVendeurs,nbVersementsMoyenEtatCarte,montantMoyenVersementEtatCarte
São Paulo,41746,125.75117945618307,17.37095033232654,4.160578549812948,1849,3.1995461328027854,145.3824403133554
Rio de Janeiro,12852,142.93156793606235,23.945252311549993,3.8534416086620262,171,3.583884136858476,168.19019051321877
Minas Gerais,11635,137.32744542619727,23.462704435204504,4.121049034683068,244,3.6448732083792725,162.29055237045168
Rio Grande do Sul,5466,138.1266605301896,24.948958026509512,4.125658253132377,129,3.8052697616060227,166.26132747804286
Paraná,5045,136.67142056822567,23.5797679071628,4.167654028436019,349,3.5763338615953515,165.50627047015323
Santa Catarina,3637,144.1177574750819,24.822884828349892,4.055875102711586,190,3.582381127902691,177.58362329524522
Bahia,3380,152.27813877307818,29.8262894580108,3.8343143025309003,19,3.9673178061607812,187.41815552216386
District fédéral,2140,142.40185411764705,23.823764705882358,4.056018518518519,30,3.2341176470588233,171.74272352941173
Espírito Santo,2033,135.82089382716043,24.575111111111116,4.009789525208028,23,3.66624284806103,158.3917863954228
Goiás,2020,146.78223716990527,26.464862979571514,4.026018654884634,40,3.713157894736842,177.3886776315789
Pernambuco,1652,159.4587560679611,36.073822815533944,3.9933933933933936,9,4.229385307346327,200.6066266866567
Ceará,1336,171.25449133383586,36.43676714393364,3.8379387602688575,13,4.188817598533456,209.93724106324456
Pará,975,184.4822783505157,39.89618556701029,3.827902240325866,1,4.059065934065934,228.26596153846154
Mato Grosso,907,173.25972314507217,32.90745293466225,4.087912087912088,4,3.974203338391502,219.9876479514417
Maranhão,747,161.6867837837841,42.59968918918917,3.745672436750999,1,3.986915887850467,203.8647289719626
Mato Grosso do Sul,715,164.75689703808206,27.0014527503526,4.115702479338843,5,3.703275529865125,205.32842003853563
Paraïba,536,216.66932330827092,48.34535714285713,4.007448789571694,6,4.675233644859813,250.10399532710275
Piauí,495,176.29630831643027,43.03894523326572,3.907258064516129,1,4.280205655526992,225.03341902313633
Rio Grande do Norte,485,172.2717427385894,39.128838174273874,4.075975359342916,5,4.393401015228426,206.70502538071074
Alagoas,413,195.4131630170318,38.721630170316296,3.7314148681055155,"",4.407624633431085,235.4473020527859
Sergipe,350,170.78507246376813,40.90281159420291,3.8,2,4.579545454545454,213.2257575757575
Tocantins,280,177.8556989247311,42.05261648745521,4.1,"",4.025380710659898,232.7884771573604
Rondônia,253,186.8042105263157,46.22421052631579,4.055335968379446,2,4.408602150537634,232.8847311827957
Amazonas,148,152.08734693877545,37.27136054421769,4.154362416107382,1,3.8225806451612905,186.70943548387098
Acre,81,197.32037037037034,45.51543209876543,4.049382716049383,1,4.524590163934426,239.7608196721311
Amapá,68,198.15147058823527,41.00735294117647,4.176470588235294,"",3.404255319148936,259.5536170212766
Roraima,46,170.205,48.59108695652174,3.608695652173913,"",3.4242424242424243,221.92393939393938
