Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,Etat,nbVendeurs,latitudeVille,longitudeVille
sao paulo,15540,124.32960264900932,16.575936891312782,4.139622641509434,São Paulo,694,-23.57086022590929,-46.633241779302736
rio de janeiro,6882,145.23541995902812,23.660398009950157,3.8843488304937916,Rio Grande do Norte,1,-22.914910090595374,-43.31288271552523
rio de janeiro,6882,145.23541995902812,23.660398009950157,3.8843488304937916,São Paulo,2,-22.914910090595374,-43.31288271552523
rio de janeiro,6882,145.23541995902812,23.660398009950157,3.8843488304937916,Rio de Janeiro,93,-22.914910090595374,-43.31288271552523
belo horizonte,2773,129.31313818181792,22.226276363636366,4.09051878354204,São Paulo,2,-19.9087721380183,-43.957549373181315
belo horizonte,2773,129.31313818181792,22.226276363636366,4.09051878354204,Minas Gerais,66,-19.9087721380183,-43.957549373181315
brasilia,2131,142.6844281663516,23.81138468809074,4.056252905625291,District fédéral,28,-15.811072659488262,-47.971704877885685
curitiba,1521,140.22388079470213,21.855503311258282,4.187540983606557,São Paulo,3,-25.453054020386823,-49.27499629427101
curitiba,1521,140.22388079470213,21.855503311258282,4.187540983606557,Paraná,124,-25.453054020386823,-49.27499629427101
campinas,1444,131.4517354793564,17.28283414975507,4.068181818181818,São Paulo,41,-22.900861066020287,-47.068536074738404
porto alegre,1379,138.8936443148691,24.418374635568508,3.9928109273903667,São Paulo,1,-30.049252267575962,-51.18858153639673
porto alegre,1379,138.8936443148691,24.418374635568508,3.9928109273903667,Rio Grande do Sul,27,-30.049252267575962,-51.18858153639673
salvador,1245,146.28789983844933,28.8109693053312,3.672785315243416,Bahia,7,-12.987813773589286,-38.50574187032669
salvador,1245,146.28789983844933,28.8109693053312,3.672785315243416,Bahia,7,-12.962654589682149,-38.4616830422837
guarulhos,1189,122.46892190152828,16.390008488964348,4.063758389261745,São Paulo,50,-23.446403450611076,-46.49876846180308
sao bernardo do campo,938,112.65192887931062,15.607607758620691,4.248677248677248,São Paulo,32,-23.70762633840408,-46.56386871942135
niteroi,849,139.5350532544381,23.683147928994085,3.9277389277389276,Rio de Janeiro,8,-22.893927051796183,-43.086335277840156
