Frais,prixProduits,FraisPredits
25.0,199.98,25.309521889772387
38.88,949.99,55.269098133425516
19.46,38.9,18.87508962709903
11.09,69.0,20.077451255522597
18.05,35.9,18.75525291994718
12.97,90.0,20.916308205585548
14.7,135.0,22.713858812863307
15.1,44.9,19.114763041402732
15.56,47.0,19.198648736409027
34.4,85.99,20.756126473692575
100.75,1299.99,69.2500473011414
13.04,99.98,21.314964984710706
16.46,99.99,21.31536444040121
16.68,149.99,23.312642892932054
7.88,89.0,20.87636263653493
15.1,37.99,18.838739159262968
14.56,55.9,19.554164300959513
0.0,110.0,21.715219586597886
38.23,415.37,33.913398007584746
9.26,129.9,22.51013641070516
15.1,49.0,19.27853987451026
19.33,249.99,27.307199797993736
18.11,199.9,25.30632624424834
22.21,129.49,22.493758727394408
29.98,229.0,26.468742303621287
15.1,35.0,18.719301907801622
13.05,86.5,20.77649871390839
7.78,29.99,18.519174606858034
9.44,89.18,20.883552838964043
34.56,241.79000000000002,26.97964613177868
19.29,163.0,23.832334746280576
22.83,160.0,23.712498039128725
18.02,109.9,21.711225029692823
7.78,29.99,18.519174606858034
15.35,549.9,39.287275411964224
8.35,155.97,23.55151739585474
38.35,113.9,21.87100730589529
21.27,110.99,21.754765699957996
21.58,299.0,29.264932137164465
14.14,55.0,19.51821328881396
7.39,24.99,18.31944676160495
59.94,109.9,21.711225029692823
37.94,399.9,33.2954400543717
7.4,19.99,18.119718916351864
11.01,56.99,19.597704971224687
16.71,143.8,23.065379820508735
18.47,45.5,19.1387303828331
18.23,47.0,19.198648736409027
16.7,105.0,21.515491741344803
16.53,109.95,21.713222308145355
25.21,122.99,22.234112528565397
15.45,49.9,19.314490886655815
11.31,97.9,21.231878201085422
17.26,501.9,37.36988809753461
14.3,80.9,20.552803527224935
15.17,50.0,19.318485443560878
10.96,13.98,17.879646046357657
8.72,56.99,19.597704971224687
23.7,48.98,19.277740963129247
20.35,799.0,49.23771666247288
35.15,384.9,32.69625651861245
18.23,26.86,18.394144975729603
14.65,49.0,19.27853987451026
15.59,69.95,20.11539954612068
21.93,144.99,23.112915047678968
26.03,265.0,27.906782789443493
14.78,49.98,19.317686532179863
69.82,219.0,26.069286613115118
48.46,233.5,26.648497364349062
17.6,26.18,18.366981988775184
34.39,84.9,20.7125858034274
17.67,59.9,19.713946577161984
11.85,18.99,18.07977334730125
14.72,35.0,18.719301907801622
14.81,72.0,20.197287962674444
21.92,52.0,19.39837658166211
27.99,148.0,23.233151210521324
9.37,79.9,20.51285795817432
16.11,49.2,19.286528988320384
7.78,12.97,17.839301021616535
10.96,38.0,18.839138614953473
23.34,89.0,20.87636263653493
10.49,239.99,26.907744107487567
19.5,199.8,25.302331687343276
10.96,22.99,18.239555623503716
7.6,49.0,19.27853987451026
14.11,27.0,18.399737355396688
13.57,59.9,19.713946577161984
13.1,94.0,21.076090481788015
18.52,59.9,19.713946577161984
20.99,259.9,27.703060387285348
9.02,118.0,22.03478413900282
14.23,69.0,20.077451255522597
14.61,122.99,22.234112528565397
17.16,199.9,25.30632624424834
11.85,13.98,17.879646046357657
39.27,119.0,22.074729708053436
22.91,90.0,20.916308205585548
16.19,348.8,31.25422147588518
16.56,557.0,39.570888952223605
11.71,64.9,19.913674422415067
13.58,79.99,20.516453059388873
12.57,37.9,18.835144058048414
15.63,290.0,28.905422015708915
15.15,56.99,19.597704971224687
16.79,38.9,18.87508962709903
26.12,809.9,49.673123365124596
12.8,95.15,21.122027886196225
8.65,130.0,22.51413096761022
15.1,19.5,18.100145587517062
8.39,161.0,23.752443608179345
13.37,49.9,19.314490886655815
8.27,20.9,18.156069384187926
76.61,259.0,27.667109375139795
8.3,79.49,20.496480274863565
13.01,49.99,19.31808598787037
26.33,150.0,23.31304234862256
73.41,599.0,41.248602852349514
17.77,74.5,20.297151885300988
12.8,19.83,18.113327625303768
7.94,21.9,18.196014953238542
18.23,24.8,18.311857103485334
35.04,84.8,20.708591246522342
96.41,119.9,22.110680720198992
11.85,18.9,18.07617824608669
31.13,69.0,20.077451255522597
12.69,25.9,18.35579722944101
18.23,24.9,18.315851660390393
9.05,289.0,28.8654764466583
10.2,169.99,24.11155427394439
17.78,18.99,18.07977334730125
11.85,10.0,17.720662681536204
18.33,64.99,19.91726952362962
19.39,59.9,19.713946577161984
18.66,54.32,19.49105030185954
8.04,42.9,19.034871903301497
16.05,29.9,18.51557950564348
53.4,149.9,23.309047791717497
23.07,69.9,20.11340226766815
39.76,889.2,52.840806990838516
13.04,220.0,26.109232182165734
61.099999999999994,239.70000000000002,26.89615989246289
16.22,210.0,25.709776491659568
18.24,399.93,33.29663842144322
22.93,39.9,18.915035196149645
18.02,64.5,19.89769619479482
11.85,15.0,17.920390526789287
12.48,39.99,18.918630297364203
16.15,199.99,25.309921345462893
11.27,34.99,18.718902452111116
7.78,19.0,18.080172802991754
8.27,49.9,19.314490886655815
17.44,104.9,21.51149718443974
28.24,122.9,22.230517427350843
15.23,13.99,17.880045502048166
16.41,379.9,32.496528673359364
17.67,59.9,19.713946577161984
31.18,139.8,22.905597544306268
124.89,999.98,57.26597713026585
23.35,77.9,20.432966820073087
22.86,1158.25,63.58816234390697
13.74,102.9,21.43160604633851
33.48,146.99,23.192806185780203
14.52,19.45,18.09814830906453
23.28,99.9,21.311769339186657
15.07,129.0,22.474185398559605
18.74,99.0,21.2758183270411
14.16,147.9,23.229156653616265
14.1,29.99,18.519174606858034
8.58,199.0,25.270375232102783
30.0,260.0,27.70705494419041
16.95,179.0,24.471463851090448
16.82,170.0,24.111953729634894
17.94,99.0,21.2758183270411
23.84,149.0,23.273096779571944
15.44,49.0,19.27853987451026
9.34,59.9,19.713946577161984
7.39,13.99,17.880045502048166
13.44,59.9,19.713946577161984
19.23,44.99,19.118358142617286
15.65,129.0,22.474185398559605
9.31,134.9,22.709864255958244
25.38,34.99,18.718902452111116
12.79,30.0,18.51957406254854
37.32,89.9,20.912313648680488
38.1,40.0,18.91902975305471
19.04,12.9,17.836504831782992
12.27,109.9,21.711225029692823
18.7,128.9,22.470190841654542
44.79,178.9,24.467469294185385
17.67,175.9,24.347632587033534
16.6,37.99,18.838739159262968
47.42,260.0,27.70705494419041
15.1,49.9,19.314490886655815
13.5,22.32,18.212792092239802
17.99,59.99,19.717541678376538
15.18,61.9,19.793837715263216
16.6,39.0,18.879084184004093
31.0,99.0,21.2758183270411
136.6,88.0,20.836417067484316
12.93,25.0,18.319846217295456
12.86,59.9,19.713946577161984
12.19,98.0,21.235872757990485
48.68,689.89,44.87925562336007
28.28,110.0,21.715219586597886
12.43,69.9,20.11340226766815
19.99,230.0,26.508687872671906
11.86,119.9,22.110680720198992
16.33,99.9,21.311769339186657
135.44,3899.0,173.06898071938502
16.45,69.0,20.077451255522597
29.18,144.46,23.091743896082143
28.64,179.99,24.511009964450558
27.04,110.0,21.715219586597886
35.529999999999994,148.0,23.233151210521324
16.79,37.9,18.835144058048414
15.44,99.0,21.2758183270411
24.35,99.9,21.311769339186657
27.59,149.9,23.309047791717497
13.95,97.99,21.235473302299976
25.27,169.9,24.107959172729835
16.97,76.0,20.357070238876915
25.42,139.0,22.873641089065774
11.85,39.9,18.915035196149645
22.86,19.9,18.11612381513731
12.48,36.9,18.795198488997794
38.7,109.98,21.71442067521687
15.1,19.9,18.11612381513731
18.02,126.99,22.393894804767864
18.23,44.99,19.118358142617286
23.63,103.97,21.474347805222667
12.43,148.75,23.26311038730929
18.0,179.99,24.511009964450558
79.65,200.43,25.327497395845164
19.95,22.95,18.23795780074169
39.95,139.9,22.90959210121133
18.23,45.0,19.11875759830779
15.1,19.99,18.119718916351864
7.45,27.49,18.41931068423149
38.52,35.0,18.719301907801622
8.72,56.99,19.597704971224687
11.9,73.35,20.251214480892777
15.1,5.5,17.540907620808426
14.1,14.9,17.916395969884224
15.35,84.99,20.71618090464196
16.79,5.2,17.528923950093244
17.74,69.99,20.116997368882707
26.7,887.0,52.75292673892716
7.99,35.6,18.743269249231993
13.76,56.99,19.597704971224687
