Note,prixProduits,NotePrediction
2,134.9,4.1079
5,185.0,4.1079
5,90.0,4.1079
5,23.0,4.1079
5,36.0,4.1079
5,119.9,4.1079
4,99.99,4.1079
5,279.0,4.1079
5,94.9,4.1079
5,108.33,4.1079
3,55.9,4.1079
5,209.9,4.1079
5,59.9,4.1079
5,79.9,4.1079
4,9.0,4.1079
5,62.9,4.1079
4,65.0,4.1079
3,18.9,4.1079
3,179.99,4.1079
1,27.99,4.1079
1,95.72,4.1079
5,133.0,4.1079
1,289.9,4.1079
5,13.3,4.1079
3,414.62,4.1079
5,29.9,4.1079
5,154.99,4.1079
3,95.0,4.1079
5,109.9,4.1079
1,149.9,4.1079
4,169.9,4.1079
5,197.5,4.1079
5,64.02,4.1079
1,131.8,4.1079
4,39.9,4.1079
5,62.9,4.1079
5,139.0,4.1079
5,112.99,4.1079
5,26.99,4.1079
1,229.99,4.1079
5,29.8,4.1079
5,309.9,4.1079
1,69.9,4.1079
5,50.19,4.1079
5,59.9,4.1079
5,199.89,4.1079
5,169.9,4.1079
5,41.9,4.1079
4,112.0,4.1079
1,169.99,4.1079
4,70.9,4.1079
5,69.9,4.1079
4,32.9,4.1079
5,32.9,4.1079
3,35.99,4.1079
5,44.99,4.1079
5,86.0,4.1079
5,99.99,4.1079
4,113.57,4.1079
5,53.97,4.1079
2,99.99,4.1079
5,220.64,4.1079
1,210.0,4.1079
4,49.77,4.1079
5,89.0,4.1079
4,219.9,4.1079
2,52.9,4.1079
5,52.9,4.1079
1,529.99,4.1079
5,23.99,4.1079
1,89.8,4.1079
5,22.5,4.1079
5,15.9,4.1079
5,69.9,4.1079
1,194.9,4.1079
5,37.6,4.1079
3,26.4,4.1079
4,398.0,4.1079
5,1038.0,4.1079
5,60.8,4.1079
5,79.0,4.1079
3,178.98,4.1079
5,59.89,4.1079
5,52.9,4.1079
5,23.9,4.1079
5,156.99,4.1079
5,69.99,4.1079
5,33.2,4.1079
3,299.9,4.1079
1,189.9,4.1079
5,159.0,4.1079
2,42.0,4.1079
1,161.9,4.1079
5,133.9,4.1079
3,18.99,4.1079
5,774.9,4.1079
5,145.0,4.1079
5,33.9,4.1079
5,46.99,4.1079
1,58.0,4.1079
5,16.49,4.1079
1,89.99,4.1079
5,220.0,4.1079
5,229.0,4.1079
5,105.0,4.1079
4,179.9,4.1079
5,113.99,4.1079
3,89.49,4.1079
4,330.0,4.1079
5,481.0,4.1079
3,189.9,4.1079
4,134.99,4.1079
5,47.49,4.1079
5,150.9,4.1079
5,298.0,4.1079
5,113.57,4.1079
5,157.3,4.1079
5,124.9,4.1079
4,179.99,4.1079
5,104.9,4.1079
5,178.0,4.1079
5,34.99,4.1079
5,78.0,4.1079
5,119.99,4.1079
3,13.9,4.1079
1,46.0,4.1079
4,48.65,4.1079
5,134.99,4.1079
4,49.0,4.1079
5,12.25,4.1079
5,199.99,4.1079
5,29.9,4.1079
2,179.0,4.1079
4,99.99,4.1079
4,12.25,4.1079
5,258.94,4.1079
5,83.9,4.1079
3,84.99,4.1079
4,199.0,4.1079
5,49.9,4.1079
5,146.99,4.1079
4,1399.99,4.1079
5,129.99,4.1079
5,53.99,4.1079
3,78.0,4.1079
4,27.9,4.1079
5,119.9,4.1079
5,289.9,4.1079
5,118.0,4.1079
5,1099.0,4.1079
5,13.65,4.1079
5,69.9,4.1079
5,108.9,4.1079
5,69.5,4.1079
5,26.15,4.1079
5,299.0,4.1079
4,27.99,4.1079
5,99.0,4.1079
5,13.65,4.1079
5,27.9,4.1079
3,46.99,4.1079
5,51.99,4.1079
5,93.99,4.1079
5,202.0,4.1079
1,49.9,4.1079
3,17.9,4.1079
5,94.9,4.1079
4,250.0,4.1079
4,89.0,4.1079
1,89.9,4.1079
1,179.9,4.1079
