geolocation_city,latitude,longitude
* cidade,-25.571748415488482,-49.33437407992388
...arraial do cabo,-22.969370031652062,-42.02983437523808
4o. centenario,-24.2718596772122,-53.0694333134515
4º centenario,-24.279800992315977,-53.07472322654436
abadia de goias,-16.76706286540188,-49.438089420466014
abadia dos dourados,-18.474476487136112,-47.4078365252738
abadiania,-16.193819611656007,-48.708441921091556
abadiânia,-16.193554941919746,-48.71214266034082
abaete,-19.158549321364347,-45.44627527095029
abaetetuba,-1.7230241817101857,-48.88106537387818
abaeté,-19.15638951920697,-45.44643294595805
abaiara,-7.358247021378397,-39.04581684412134
abaira,-13.250394953318787,-41.66353606594831
abare,-8.689967452179038,-39.164144068995
abaré,-8.723652728356718,-39.11459425901205
abatia,-23.304513187420707,-50.31116611469426
abatiá,-23.30473194502101,-50.30671144373594
abaíra,-13.251101562812092,-41.664659557986646
abdon batista,-27.608818306014136,-51.024885318269426
abel figueiredo,-4.953901331134197,-48.39812266389258
abelardo luz,-26.56537535604435,-52.32532803924757
abrantes,-12.830174022460263,-38.265106951363116
abre campo,-20.297406091839964,-42.4756790957994
abreu e lima,-7.9115678105724125,-34.912985990149764
abreulândia,-9.622442657403377,-49.149720300911845
abreus,-18.977746375609975,-48.269237984590916
acaiaca,-20.36291378049634,-43.14402222191236
acailandia,-4.944747265765334,-47.48256492492615
acajutiba,-11.663495576693931,-38.023852706144226
acara,-1.95913141173418,-48.1963070610334
acarape,-4.224106437897478,-38.70598562793475
acarau,-2.890381875051492,-40.113084822473105
acaraú,-2.8882738147063645,-40.07931114644638
acari,-6.436124915575116,-36.640335529330684
acará,-1.9604751722640619,-48.19888368109972
acaua,-8.21782599334695,-41.0820652414531
acauã,-8.221232314232498,-41.07740644501662
acegua,-31.774987418302466,-54.15690689012052
aceguá,-31.7245094621224,-54.11720555627117
acioli,-19.655909222582128,-40.46336507540551
acopiara,-6.094117746073023,-39.448978487408645
acorizal,-15.199589388505151,-56.36694095815544
acrelandia,-10.05360609871141,-67.0321262765574
acrelândia,-10.076679176010263,-67.05356437120881
acreuna,-17.398076270053327,-50.372516392538124
acreúna,-17.400167942106318,-50.376586471645616
acu,-5.578256162561115,-36.91491532275635
acucena,-19.129221349636005,-42.64363789453824
acupe,-12.661775303973426,-38.751328908632885
adamantina,-21.695742878741704,-51.046361833976654
adao colares,-0.9331793302279578,-48.2798854881097
adelandia,-16.41626295336215,-50.167602152545605
adhemar de barros,-22.69031468157406,-52.73463407849236
adolfo,-21.234456456293216,-49.642715645268126
adrianopolis,-24.668314396332,-48.97598733352184
adrianópolis,-24.65964054399721,-48.99171509845514
adustina,-10.536616901316743,-38.11492053385937
afogados da ingazeira,-7.759829833939789,-37.56020507437151
afonso arinos,-22.01222443747746,-43.337123104264364
afonso bezerra,-5.49563931777212,-36.53499953473234
afonso claudio,-20.075987175514054,-41.12398801850306
afonso cláudio,-20.082490603465917,-41.12193874559757
afonso cunha,-4.131088397083895,-43.32399745717131
afranio,-8.532137464656774,-41.025149765576884
afrânio,-8.515681257243429,-41.00847132643635
afua,-0.15676982154698302,-50.39281388731495
afuá,-0.15869544987536444,-50.389617235803755
