Etat,nbVersementsMoyenEtat
Santa Catarina,2.8662759722962172
Mato Grosso do Sul,2.90625
Goiás,2.952651515151515
Mato Grosso,3.045929018789144
Ceará,3.488555078683834
Espírito Santo,2.9905078310393924
Piauí,3.435114503816794
Paraná,2.853667806917522
Alagoas,3.721311475409836
Bahia,3.1880886426592796
Roraima,2.739130434782609
Pernambuco,3.4930555555555554
Amazonas,3.272727272727273
Rio Grande do Sul,2.9723006351446717
Acre,3.5595238095238093
Rio Grande do Norte,3.5613026819923372
Paraïba,3.7596491228070175
District fédéral,2.7232304900181488
Sergipe,3.6177285318559558
São Paulo,2.6220026592086563
Rio de Janeiro,2.9651807496118874
Minas Gerais,2.9822343414311683
Rondônia,3.42911877394636
Maranhão,3.0834419817470664
Tocantins,2.9800664451827243
Pará,3.202769535113749
Amapá,2.6142857142857143
